province,region,start_year,end_year,digital_finance_mean,carbon_intensity_mean,digital_finance_change,carbon_intensity_change,digital_level,carbon_level,policy_type,policy_suggestion,digital_threshold_median,carbon_threshold_median
上海,东部,2011,2022,310.7681759803204,0.5770565525661873,380.5008552828697,-0.285980815933765,高,低,示范引领型,巩固数字金融与绿色创新协同优势，强化跨区域示范和经验扩散。,237.7930107418823,1.4415730669371012
北京,东部,2011,2022,304.78500792803123,0.32316935315671064,373.4202315021897,-0.33819439749466795,高,低,示范引领型,巩固数字金融与绿色创新协同优势，强化跨区域示范和经验扩散。,237.7930107418823,1.4415730669371012
天津,东部,2011,2022,262.6544651834056,1.1937374207963005,346.72490836687973,-0.8885464462380958,高,低,示范引领型,巩固数字金融与绿色创新协同优势，强化跨区域示范和经验扩散。,237.7930107418823,1.4415730669371012
广东,东部,2011,2022,271.9095049309603,0.6817457538192153,346.87885103346775,-0.32893258338298315,高,低,示范引领型,巩固数字金融与绿色创新协同优势，强化跨区域示范和经验扩散。,237.7930107418823,1.4415730669371012
江苏,东部,2011,2022,273.27067780085514,0.857445457443461,361.98482747774784,-0.6058331087864632,高,低,示范引领型,巩固数字金融与绿色创新协同优势，强化跨区域示范和经验扩散。,237.7930107418823,1.4415730669371012
浙江,东部,2011,2022,294.28598137460125,0.8789987154309405,362.6546679210633,-0.4032833073903789,高,低,示范引领型,巩固数字金融与绿色创新协同优势，强化跨区域示范和经验扩散。,237.7930107418823,1.4415730669371012
福建,东部,2011,2022,272.8299352449904,0.8411226994163288,358.9924353823293,-0.45859429816122554,高,低,示范引领型,巩固数字金融与绿色创新协同优势，强化跨区域示范和经验扩散。,237.7930107418823,1.4415730669371012
湖北,中部,2011,2022,255.1041163956678,0.8961924439019592,358.9903179856837,-0.9236157713046519,高,低,示范引领型,巩固数字金融与绿色创新协同优势，强化跨区域示范和经验扩散。,237.7930107418823,1.4415730669371012
四川,西部,2011,2022,238.10815830879065,0.8301710448834644,331.45125024535935,-0.7689451862331774,高,低,示范引领型,巩固数字金融与绿色创新协同优势，强化跨区域示范和经验扩散。,237.7930107418823,1.4415730669371012
重庆,西部,2011,2022,245.47751613623927,0.7975932245169233,340.335786648983,-0.9676736317740002,高,低,示范引领型,巩固数字金融与绿色创新协同优势，强化跨区域示范和经验扩散。,237.7930107418823,1.4415730669371012
江西,中部,2011,2022,237.47786317497398,0.9197081105988109,349.08882853448637,-0.6561938159311781,低,低,稳态优化型,保持低碳优势，补齐数字金融服务深度和绿色项目匹配能力。,237.7930107418823,1.4415730669371012
